block,Species,tank,pH_treatment,temp_treatment,Date,FileName,chamber.channel,ID,BLANK,notes,start.time,stop.time,volume,AFDW,wet_weight,TA.start,TA.stop
S24,Mussel,2,7.4,18,8/11/2024,T2_MShell_20240811_O2,,Shell,,,14:35,15:38,648,,2.2438,14:30,15:40
S24,Nucella,2,7.4,18,8/11/2024,T2_NShell_20240811_O2,,Shell,,,14:35,15:38,115.5,,0.7886,14:30,15:40
S24,Mussel,4,7.3,18,8/11/2024,T4_MShell_20240811_O2,,Shell,,,14:35,15:38,648,,6.2979,14:30,15:40
S24,Nucella,4,7.3,18,8/11/2024,T4_NShell_20240811_O2,,Shell,,,14:35,15:38,115.8,,0.499,14:30,15:40
S24,Mussel,5,7.7,18,8/11/2024,T5_MShell_20240811_O2,,Shell,,,14:35,15:38,645,,7.0424,14:30,15:40
S24,Nucella,5,7.7,18,8/11/2024,T5_NShell_20240811_O2,,Shell,,,14:35,15:38,115.6,,0.6511,14:30,15:40
S24,Mussel,6,7.9,18,8/11/2024,T6_MShell_20240811_O2,,Shell,,,14:35,15:38,648,,6.0478,14:30,15:40
S24,Nucella,6,7.9,18,8/11/2024,T6_NShell_20240811_O2,,Shell,,,14:35,15:38,115.3,,1.1458,14:30,15:40
S24,Mussel,7,7.5,18,8/11/2024,T7_MShell_20240811_O2,,Shell,,,14:35,15:38,648,,3.2169,14:30,15:40
S24,Nucella,7,7.5,18,8/11/2024,T7_NShell_20240811_O2,,Shell,,,14:35,15:38,115.6,,0.5795,14:30,15:40
S25,Mussel,8,7.6,18,8/11/2024,T8_MShell_20240811_O2,,Shell,,,16:05,17:06,648,,3.5436,16:00,17:10
S25,Nucella,8,7.6,18,8/11/2024,T8_NShell_20240811_O2,,Shell,,,16:05,17:06,115.3,,1.0063,16:00,17:10
S25,Mussel,9,7.2,18,8/11/2024,T9_MShell_20240811_O2,,Shell,,,16:05,17:06,644,,4.1973,16:00,17:10
S25,Nucella,9,7.2,18,8/11/2024,T9_NShell_20240811_O2,,Shell,,,16:05,17:06,115.2,,1.2741,16:00,17:10
S25,Mussel,10,7.8,18,8/11/2024,T10_MShell_20240811_O2,,Shell,,,16:05,17:06,649,,5.1052,16:00,17:10
S25,Nucella,10,7.8,18,8/11/2024,T10_NShell_20240811_O2,,Shell,,,16:05,17:06,115.5,,0.9728,16:00,17:10
S25,Mussel,13,8,18,8/11/2024,T13_MShell_20240811_O2,,Shell,,,16:05,17:06,648,,3.4969,16:00,17:10
S25,Nucella,13,8,18,8/11/2024,T13_NShell_20240811_O2,,Shell,,,16:05,17:06,115.7,,0.5917,16:00,17:10
S27,Mussel,1,7.6,22,8/9/2024,T1_MShell_20240809_O2,,,,,14:35,15:47,643,,5.5576,14:35,15:47
S27,Nucella,1,7.6,22,8/9/2024,T1_NShell_20240809_O2,,,,,14:35,15:47,115.75,,0.652,14:35,15:47
S27,Mussel,3,7.8,22,8/9/2024,T3_MShell_20240809_O2,,,,,14:35,15:47,645,,10.4718,14:35,15:47
S27,Nucella,3,7.8,22,8/9/2024,T3_NShell_20240809_O2,,,,,14:35,15:47,115.5,,0.8196,14:35,15:47
S27,Mussel,11,7.5,22,8/9/2024,T11_MShell_20240809_O2,,,,,14:35,15:47,646,,6.622,14:35,15:47
S27,Nucella,11,7.5,22,8/9/2024,T11_NShell_20240809_O2,,,,,14:35,15:47,115.5,,0.6807,14:35,15:47
S27,Mussel,12,7.4,22,8/9/2024,T12_MShell_20240809_O2,,,,,14:35,15:47,646,,11.4588,14:35,15:47
S27,Nucella,12,7.4,22,8/9/2024,T12_NShell_20240809_O2,,,,,14:35,15:47,115.75,,0.715,14:35,15:47
S27,Mussel,14,7.2,22,8/9/2024,T14_MShell_20240809_O2,,,,,14:35,15:47,645,,12.0784,14:35,15:47
S27,Nucella,14,7.2,22,8/9/2024,T14_NShell_20240809_O2,,,,,14:35,15:47,115.8,,0.4744,14:35,15:47
S26,Mussel,15,7.7,22,8/9/2024,T15_MShell_20240809_O2,,,,,16:25,17:35,646,,10.0893,16:25,17:35
S26,Nucella,15,7.7,22,8/9/2024,T15_NShell_20240809_O2,,,,,16:25,17:35,115.6,,0.5076,16:25,17:35
S26,Nucella,17,7.9,22,8/9/2024,T17_NShell_20240809_O2,,,,,16:25,17:35,115.7,,0.6624,16:25,17:35
S26,Mussel,17,7.9,22,8/9/2024,T17_MShell_20240809_O2,,,,,16:25,17:35,645,,7.8621,16:25,17:35
S26,Mussel,18,7.3,22,8/9/2024,T18_MShell_20240809_O2,,,,,16:25,17:35,644,,16.5651,16:25,17:35
S26,Nucella,18,7.3,22,8/9/2024,T18_NShell_20240809_O2,,,,,16:25,17:35,115.7,,0.6382,16:25,17:35
S26,Mussel,19,8,22,8/9/2024,T19_MShell_20240809_O2,,,,,16:25,17:35,647.5,,8.2222,16:25,17:35
S26,Nucella,19,8,22,8/9/2024,T19_NShell_20240809_O2,,,,,16:25,17:35,115.6,,0.6312,16:25,17:35
