PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
8/11/2024,7:10:55,5,default,589198012,Sensor5,30.314,min,242.693,μmol/L,Humid,22.111,deg,101606,µV,17.847,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234340.88,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:10:56,5,default,589198012,Sensor5,30.331,min,242.834,μmol/L,Humid,22.109,deg,101603,µV,17.835,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234335.17,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:10:57,5,default,589198012,Sensor5,30.348,min,242.808,μmol/L,Humid,22.108,deg,101596,µV,17.841,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234330.2,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:10:58,5,default,589198012,Sensor5,30.364,min,242.738,μmol/L,Humid,22.109,deg,101591,µV,17.847,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234325.7,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:10:59,5,default,589198012,Sensor5,30.38,min,242.716,μmol/L,Humid,22.11,deg,101600,µV,17.847,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234332.97,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:11:00,5,default,589198012,Sensor5,30.397,min,242.738,μmol/L,Humid,22.109,deg,101598,µV,17.847,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234330.84,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:11:01,5,default,589198012,Sensor5,30.414,min,242.808,μmol/L,Humid,22.108,deg,101601,µV,17.841,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234347.61,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:11:02,5,default,589198012,Sensor5,30.43,min,242.649,μmol/L,Humid,22.113,deg,101592,µV,17.847,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234328.23,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:11:03,5,default,589198012,Sensor5,30.447,min,242.738,μmol/L,Humid,22.109,deg,101595,µV,17.847,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234317.18,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
8/11/2024,7:11:04,5,default,589198012,Sensor5,30.464,min,242.852,μmol/L,Humid,22.106,deg,101592,µV,17.841,°C,984,hPa,35,pmil,0,51.012,deg,22.426,°C,100,%a.s.,21.897,deg,22.42,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,234323.9,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:04,0000-00,0,no battery,V,241637,µV,109322,µV
