PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
8/10/2024,15:00:27,7,default,732870377,Sensor7,491.048,min,229.706,μmol/L,Humid,24.137,deg,71307,µV,18.677,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249131.99,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:28,7,default,732870377,Sensor7,491.07,min,229.666,μmol/L,Humid,24.139,deg,71294,µV,18.677,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249105.06,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:29,7,default,732870377,Sensor7,491.087,min,229.732,μmol/L,Humid,24.138,deg,71274,µV,18.671,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249061.26,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:30,7,default,732870377,Sensor7,491.104,min,229.705,μmol/L,Humid,24.144,deg,71264,µV,18.659,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249033,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:31,7,default,732870377,Sensor7,491.12,min,229.725,μmol/L,Humid,24.143,deg,71262,µV,18.659,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249023.27,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:32,7,default,732870377,Sensor7,491.137,min,229.79,μmol/L,Humid,24.142,deg,71253,µV,18.653,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249009.77,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:33,7,default,732870377,Sensor7,491.154,min,229.651,μmol/L,Humid,24.149,deg,71257,µV,18.653,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249014.9,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:34,7,default,732870377,Sensor7,491.17,min,229.79,μmol/L,Humid,24.142,deg,71253,µV,18.653,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,249002.34,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:35,7,default,732870377,Sensor7,491.187,min,229.731,μmol/L,Humid,24.145,deg,71256,µV,18.653,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,248998.53,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
8/10/2024,15:00:36,7,default,732870377,Sensor7,491.204,min,229.698,μmol/L,Humid,24.149,deg,71258,µV,18.647,°C,980,hPa,35,pmil,0,52.484,deg,22.674,°C,100,%a.s.,23.523,deg,22.649,°C,984,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,33.6,0,61.3,248993.57,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,8/7/2024 16:16,0000-00,0,no battery,V,152127,µV,,µV
