date,ID,tank,sample_type,TA,water_mass
20240815,T11_initial_1,11,Initial,2014.330809,60.14
20240815,T11_initial_2,11,Initial,2008.36584,59.8308
20240815,T11_initial_3,11,Initial,2023.752591,60.0811
20240815,T11_Blank,11,Blank,2002.11009,60.0094
20240815,T11_M61,11,,2036.904997,60.3134
20240815,T11_M62,11,,2005.144214,60.0947
20240815,T11_M63,11,,2008.966556,60.0945
20240815,T11_M64,11,,2012.810097,60.0476
20240815,T11_M65,11,,2007.422117,60.4104
20240815,T11_N32,11,,2023.357336,60.4905
20240815,T11_N11,11,,2029.164177,59.6835
20240815,T11_N45,11,,2030.172704,60.0337
20240815,T11_N50,11,,2008.851507,59.918
20240815,T12_initial_1,12,Initial,1981.684585,60.1121
20240815,T12_initial_2,12,Initial,1994.805682,59.9459
20240815,T12_initial_3,12,Initial,1992.849853,60.1491
20240815,T12_Blank,12,Blank,1987.486022,60.0048
20240815,T12_M67,12,,1991.218583,60.1192
20240815,T12_M68,12,,1991.254659,60.2088
20240815,T12_M69,12,,1995.7421,59.9346
20240815,T12_M70,12,,2001.714143,59.5803
20240815,T12_M71,12,,1996.512967,59.9937
20240815,T12_N104,12,,2078.710711,60.2898
20240815,T12_N101,12,,2010.788689,60.2902
20240815,T12_N29,12,,2006.373376,59.9511
20240815,T12_N87,12,,2011.715883,59.8046
20240831,T14_initial_1,14,Initial,1943.514168,60.4665
20240831,T14_initial_2,14,Initial,1948.500074,60.3893
20240831,T14_initial_3,14,Initial,1947.928371,60.0432
20240831,T14_Blank,14,Blank,1942.441312,59.9483
20240831,T14_M79,14,,1959.672311,59.8421
20240831,T14_M80,14,,1945.088451,60.1446
20240831,T14_M82,14,,1933.655643,60.0178
20240831,T14_M83,14,,1954.8104,59.9153
20240831,T14_M84,14,,1972.608752,59.8959
20240831,T14_N60,14,,2044.915645,60.0271
20240831,T14_N70,14,,1961.904459,59.7986
20240831,T14_N75,14,,2016.61542,60.3017
20240831,T14_N61,14,,2013.884834,60.1206
20240831,T15_initial_1,15,Initial,1998.530384,60.4064
20240831,T15_initial_2,15,Initial,1996.771678,60.3322
20240831,T15_initial_3,15,Initial,1926.421624,60.2929
20240831,T15_Blank,15,Blank,1940.249268,60.1472
20240831,T15_M85,15,,1939.516035,60.0251
20240831,T15_M86,15,,1934.684675,60.2692
20240831,T15_M87,15,,1935.848946,60.0695
20240831,T15_M89,15,,1946.91776,59.5525
20240831,T15_N62,15,,1904.900838,60.1271
20240831,T15_N106,15,,1993.282102,60.2855
20240831,T15_N06,15,,1904.767093,59.783
20240831,T15_N110,15,,1959.379746,60.1747
20240831,T15_N91,15,,1900.165509,59.8385
20240831,T1_initial_4,1,Initial,1929.366689,60.056
20240831,T1_initial_5,1,Initial,1911.006871,60.1125
20240831,T1_initial_6,1,Initial,1937.344558,60.2793
20240831,T1_Blank_2,1,Blank,1952.84053,60.4151
20240831,T1_N16,1,,2000.858741,59.8691
20240831,T12_initial_4,12,Initial,1972.976165,59.9679
20240831,T12_initial_5,12,Initial,1966.574115,60.2184
20240831,T12_initial_6,12,Initial,1946.095427,60.1778
20240831,T12_Blank_2,12,Blank,1972.993755,59.9242
20240831,T12_N05,12,,2012.775802,59.885
20240831,T17_initial_1,17,Initial,1943.142083,60.4508
20240831,T17_initial_2,17,Initial,1918.838826,60.4277
20240831,T17_initial_3,17,Initial,1937.300426,60.3826
20240831,T17_Blank,17,Blank,1943.10532,60.2135
20240831,T17_M92,17,,1927.806175,59.9409
20240831,T17_M93,17,,1933.789617,59.9104
20240831,T17_M94,17,,1942.872703,60.0533
20240831,T17_M95,17,,1926.840526,59.8902
20240831,T17_M96,17,,1951.681756,59.7003
20240831,T17_N22,17,,1968.10719,59.7127
20240831,T17_N77,17,,1896.336329,60.0413
20240831,T17_N82,17,,1979.358415,60.0793
20240831,T17_N73,17,,1914.838594,59.8666
20240831,T18_initial_1,18,Initial,2011.809668,60.0424
20240831,T18_initial_2,18,Initial,1933.133343,59.6181
20240831,T18_initial_3,18,Initial,2013.35881,60.1453
20240831,T18_Blank,18,Blank,1946.709272,59.6466
20240831,T18_M97,18,,1951.913688,59.927
20240831,T18_M98,18,,1974.146457,59.9388
20240831,T18_M99,18,,1939.72197,59.6929
20240831,T18_M100,18,,1972.348949,60.1574
20240831,T18_N102,18,,1943.682437,60.3299
20240831,T18_N37,18,,2012.659767,59.7119
