date,ID,tank,sample_type,TA,water_mass
20240815,T11_initial_1,11,Initial,2014.330809,60.14
20240815,T11_initial_2,11,Initial,2008.36584,59.8308
20240815,T11_initial_3,11,Initial,2023.752591,60.0811
20240815,T11_Blank,11,Blank,2002.11009,60.0094
20240815,61,11,,2036.904997,60.3134
20240815,62,11,,2005.144214,60.0947
20240815,63,11,,2008.966556,60.0945
20240815,64,11,,2012.810097,60.0476
20240815,65,11,,2007.422117,60.4104
20240815,T12_initial_1,12,Initial,1981.684585,60.1121
20240815,T12_initial_2,12,Initial,1994.805682,59.9459
20240815,T12_initial_3,12,Initial,1992.849853,60.1491
20240815,T12_Blank,12,Blank,1987.486022,60.0048
20240815,67,12,,1991.218583,60.1192
20240815,68,12,,1991.254659,60.2088
20240815,68,12,,1995.7421,59.9346
20240815,70,12,,2001.714143,59.5803
20240815,71,12,,1996.512967,59.9937
20240831,T14_initial_1,14,Initial,1943.514168,60.4665
20240831,T14_initial_2,14,Initial,1948.500074,60.3893
20240831,T14_initial_3,14,Initial,1947.928371,60.0432
20240831,T14_Blank,14,Blank,1942.441312,59.9483
20240831,79,14,,1959.672311,59.8421
20240831,80,14,,1945.088451,60.1446
20240831,82,14,,1933.655643,60.0178
20240831,83,14,,1954.8104,59.9153
20240831,84,14,,1972.608752,59.8959
20240831,T15_initial_1,15,Initial,1998.530384,60.4064
20240831,T15_initial_2,15,Initial,1996.771678,60.3322
20240831,T15_initial_3,15,Initial,1926.421624,60.2929
20240831,T15_Blank,15,Blank,1940.249268,60.1472
20240831,85,15,,1939.516035,60.0251
20240831,86,15,,1934.684675,60.2692
20240831,87,15,,1935.848946,60.0695
20240831,89,15,,1946.91776,59.5525
20240831,T17_initial_1,17,Initial,1943.142083,60.4508
20240831,T17_initial_2,17,Initial,1918.838826,60.4277
20240831,T17_initial_3,17,Initial,1937.300426,60.3826
20240831,T17_Blank,17,Blank,1943.10532,60.2135
20240831,92,17,,1927.806175,59.9409
20240831,93,17,,1933.789617,59.9104
20240831,94,17,,1942.872703,60.0533
20240831,95,17,,1926.840526,59.8902
20240831,96,17,,1951.681756,59.7003
20240831,T18_initial_1,18,Initial,2011.809668,60.0424
20240831,T18_initial_2,18,Initial,1933.133343,59.6181
20240831,T18_initial_3,18,Initial,2013.35881,60.1453
20240831,T18_Blank,18,Blank,1946.709272,59.6466
20240831,97,18,,1951.913688,59.927
20240831,98,18,,1974.146457,59.9388
20240831,99,18,,1939.72197,59.6929
20240831,100,18,,1972.348949,60.1574
20240901,T8_initial_1,8,Initial,1939.538041,60.06
20240901,T8_initial_2,8,Initial,1951.442945,59.8686
20240901,T8_initial_3,8,Initial,1921.5901,59.5994
20240901,T8_Blank,8,Blank,1954.378576,60.3878
20240901,43,8,,1942.003678,60.1518
20240901,44,8,,1966.085518,60.0217
20240901,46,8,,1945.470417,59.7029
20240901,47,8,,1940.502951,60.0143
20240901,48,8,,1929.27346,59.7116
20240901,T4_initial_1,4,Initial,1919.752125,60.1038
20240901,T4_initial_2,4,Initial,1930.366055,60.4114
20240901,T4_initial_3,4,Initial,1924.799231,60.2496
20240901,T4_Blank,4,Blank,1936.8965,59.6747
20240901,19,4,,1933.40105,59.6603
20240901,20,4,,1944.692462,60.3316
20240901,21,4,,1944.803471,59.9964
20240901,23,4,,1961.923366,60.0889
20240901,24,4,,1941.467387,59.8905
20240901,T19_initial_1,19,Initial,1921.575872,59.8079
20240901,T19_initial_2,19,Initial,1927.557955,60.2752
20240901,T19_initial_3,19,Initial,1925.244853,60.1074
20240901,T19_Blank,19,Blank,1917.050325,59.5599
20240901,103,19,,1921.308242,59.7171
20240901,104,19,,1920.518644,60.0159
20240901,106,19,,1927.204686,59.7363
20240901,107,19,,1910.673649,59.6228
20240901,108,19,,1914.657737,60.0022
20240901,T2_initial_1,2,Initial,1955.087928,59.8653
20240901,T2_initial_2,2,Initial,1953.456047,59.9418
20240901,T2_initiaL_3,2,Initial,1954.503629,60.0035
20240901,T2_Blank,2,Blank,1959.728444,60.327
20240901,7,2,,1929.703138,59.9069
20240901,8,2,,1960.177462,60.3461
20240901,9,2,,1947.162478,60.0682
20240901,10,2,,1959.403406,60.4062
20240901,11,2,,1958.6559,60.2395
20240814,T1_initial_1,1,Initial,2003.830277,60.3011
20240814,T1_initial_2,1,Initial,1980.616563,59.9294
20240814,T1_initial_3,1,Initial,2091.765767,59.7979
