date,ID,tank,sample_type,TA,water_mass
20241219,T1_initial_7,1,Initial,1934.963469,60.2334
20241219,T1_initial_8,1,Initial,1988.952044,59.8717
20241219,T1_initial_9,1,Initial,1932.919995,59.9463
20241219,T1_Mshell,1,Mshell,1952.920976,60.2053
20241219,T1_Nshell,1,Nshell,1972.385442,60.0876
20241220,T2_initial_7,2,Initial,1929.901052,60.0967
20241220,T2_initial_8,2,Initial,1960.953794,59.6425
20241220,T2_initial_9,2,Initial,1944.945989,60.3934
20241220,T2_MShell,2,Mshell,1930.331149,59.797
20241220,T2_NShell,2,Nshell,1917.515572,60.3745
20241219,T3_initial_7,3,Initial,1984.137296,60.4022
20241219,T3_initial_8,3,Initial,1921.725116,60.2538
20241219,T3_initial_9,3,Initial,1934.687988,60.2382
20241219,T3_Mshell,3,Mshell,1963.071186,59.6094
20241219,T3_Nshell,3,Nshell,1946.68043,59.7495
20241221,T4_initial_7,4,Initial,1963.32982,59.9065
20241221,T4_initial_8,4,Initial,1957.099985,60.2898
20241221,T4_initial_9,4,Initial,1946.962711,59.6109
20241221,T4_MShell,4,Mshell,1931.732787,59.8945
20241221,T4_NShell,4,Nshell,2010.72708,59.9109
20241221,T5_initial_7,5,Initial,2001.515832,59.8719
20241221,T5_initial_8,5,Initial,1948.845859,59.6505
20241221,T5_initial_9,5,Initial,2011.359985,60.2562
20241221,T5_Mshell,5,Mshell,1944.999637,59.7363
20241221,T5_NShell,5,Nshell,1931.38437,59.8754
20241220,T6_initial_7,6,Initial,1936.250967,59.9067
20241220,T6_initial_8,6,Initial,1948.742134,59.9248
20241220,T6_initial_9,6,Initial,1916.91804,60.2262
20241220,T6_MShell,6,Mshell,1923.458427,60.1515
20241220,T6_NShell,6,Nshell,1935.361191,60.3386
20240814,T7_initial_7_18,7,Initial,1996.561897,60.4683
20240814,T7_initial_8_18,7,Initial,1979.288631,59.9577
20240814,T7_initial_9_18,7,Initial,2101.139316,59.6541
20240814,T7_shell_M_18,7,Mshell,1993.852154,60.0232
20240814,T7_shell_N_18,7,Nshell,2002.208974,60.1765
20240814,T8_initial_7_18,8,Initial,1977.786055,60.0268
20240814,T8_initial_8_18,8,Initial,1965.854041,60.4532
20240814,T8_initial_9_18,8,Initial,1968.092548,59.6165
20240814,T8_shell_M_18,8,Mshell,1966.70066,60.4201
20240814,T8_shell_N_18,8,Nshell,1996.220932,60.4417
20240814,T9_initial_7_18,9,Initial,2016.220912,60.0976
20240814,T9_initial_8_18,9,Initial,2008.177752,60.037
20240814,T9_initial_9_18,9,Initial,2027.111191,60.3769
20240814,T9_shell_M_18,9,Mshell,1987.443158,60.4991
20240814,T9_shell_N_18,9,Nshell,1982.33729,60.2413
20240814,T10_initial_7_18,10,Initial,1980.243448,60.454
20240814,T10_initial_8_18,10,Initial,1966.461017,60.441
20240814,T10_initial_9_18,10,Initial,1971.312474,60.4297
20240814,T10_shell_M_18,10,Mshell,1989.791976,60.0549
20240814,T10_shell_N_18,10,Nshell,2011.745262,59.9175
20241220,T11_initial_7,11,initial,2015.595603,59.9001
20241220,T11_initial_8,11,initial,1968.283597,60.1844
20241220,T11_initial_9,11,initial,1975.117978,60.2565
20241220,T11_MShell,11,mshell,1997.879104,59.8399
20241220,T11_NShell,11,nshell,2063.428152,59.9393
20241220,T12_initial_7,12,initial,2009.562814,60.3737
20241220,T12_initial_8,12,initial,1958.744552,59.6858
20241220,T12_initial_9,12,initial,2011.883253,60.3257
20241220,T12_MShell,12,mshell,1977.041908,60.2119
20241220,T12_NShell,12,nshell,1958.791675,59.7532
20240814,T13_initial_7_18,13,Initial,1967.756942,60.4018
20240814,T13_initial_8_18,13,Initial,1985.261771,60.2254
20240814,T13_initial_9_18,13,Initial,1973.855035,59.9994
20240814,T13_shell_M_18,13,Mshell,2003.822641,60.3646
20240814,T13_shell_N_18,13,Nshell,1979.276569,60.4941
20241217,T14_initial_7,14,Initial,2013.484106,59.6894
20241217,T14_initial_8,14,Initial,1949.004214,60.2188
20241217,T14_initial_9,14,Initial,2014.911247,60.1674
20241217,T14_MShell,14,Mshell,1991.404883,60.2642
20241217,T14_NShell,14,Nshell,1955.538449,59.8174
20241217,T15_initial_7,15,Initial,1929.20042,60.0729
20241217,T15_initial_8,15,Initial,1948.884819,60.4731
20241217,T15_initial_9,15,Initial,1932.617992,60.0406
20241217,T15_MShell,15,Mshell,1971.634325,59.9713
20241217,T15_NShell,15,Nshell,1994.795073,60.0788
20241219,T17_initial_7,17,Initial,1928.822738,59.7513
20241219,T17_initial_8,17,Initial,1942.696539,60.1414
20241219,T17_initial_9,17,Initial,1929.344768,60.3598
20241219,T17_MShell,17,Mshell,1950.12823,59.9872
20241219,T17_NShell,17,Nshell,1904.557356,60.2964
20241219,T18_initial_7,18,Initial,1934.695467,60.3803
20241219,T18_initial_8,18,Initial,1948.283867,60.0089
20241219,T18_initial_9,18,Initial,1925.079189,59.6574
20241219,T18_MShell,18,Mshell,2020.637962,60.0578
20241219,T18_NShell,18,Nshell,1965.304931,60.156
20241220,T19_initial_7,19,Initial,1920.793262,60.4223
20241220,T19_initial_8,19,Initial,1938.760145,59.8151
20241220,T19_initial_9,19,Initial,1926.742758,60.236
20241220,T19_MShell,19,Mshell,1962.577274,59.8376
20241220,T19_NShell,19,Nshell,1961.856154,59.8277
