date,SampleID,TA,TrisCalDate,(Intercept),TTris,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp,Sampling_Date,mVTris,pH
20240716,tank1,0.001835781,7/15/2024,-99.45420609,1.26397558,1,20240716,TD,16:10,16:40,-23.3,22.194,31.88,7.6,22,7/16/2024,-71.40153208,7.350647619
20240716,tank2,0.001832753,7/15/2024,-99.45420609,1.26397558,2,20240716,TD,16:10,16:40,-24.2,17.917,31.94,7.4,18,7/16/2024,-76.80755563,7.396624464
20240716,tank3,0.001801725,7/15/2024,-99.45420609,1.26397558,3,20240716,TD,16:10,16:40,-52,23.071,31.96,7.8,22,7/16/2024,-70.2930255,7.832719425
20240716,tank4,0.001840081,7/15/2024,-99.45420609,1.26397558,4,20240716,TD,16:10,16:40,-17.9,18.821,31.93,7.3,18,7/16/2024,-75.66492171,7.281390992
20240716,tank5,0.001820195,7/15/2024,-99.45420609,1.26397558,5,20240716,TD,16:10,16:40,-31.1,18.173,31.96,7.7,18,7/16/2024,-76.48397788,7.514153308
20240716,tank6,0.001793173,7/15/2024,-99.45420609,1.26397558,6,20240716,TD,16:10,16:40,-48.9,18.58,31.95,7.9,18,7/16/2024,-75.96953982,7.818569244
20240716,tank7,0.001813069,7/15/2024,-99.45420609,1.26397558,7,20240716,TD,16:10,16:40,-30.9,18.62,31.93,7.5,18,7/16/2024,-75.9189808,7.507307975
20240716,tank8,0.001832802,7/15/2024,-99.45420609,1.26397558,8,20240716,TD,16:10,16:40,-35.2,18.307,31.97,7.6,18,7/16/2024,-76.31460516,7.584032274
20240716,tank9,0.001833188,7/15/2024,-99.45420609,1.26397558,9,20240716,TD,16:10,16:40,-12.1,18.56,31.98,7.2,18,7/16/2024,-75.99481933,7.182961102
20240716,tank10,0.001827141,7/15/2024,-99.45420609,1.26397558,10,20240716,TD,16:10,16:40,-49.1,18.388,31.92,7.8,18,7/16/2024,-76.21222313,7.823685261
20240716,tank11,0.001848374,7/15/2024,-99.45420609,1.26397558,11,20240716,TD,16:10,16:40,-22.9,22.234,31.99,7.5,22,7/16/2024,-71.35097306,7.343539291
20240716,tank12,0.001820074,7/15/2024,-99.45420609,1.26397558,12,20240716,TD,16:10,16:40,-24.3,22.309,31.92,7.4,22,7/16/2024,-71.25617489,7.36688966
20240716,tank13,0.001812152,7/15/2024,-99.45420609,1.26397558,13,20240716,TD,16:10,16:40,-57.3,18.695,31.93,8,18,7/16/2024,-75.82418263,7.962632961
20240716,tank14,0.001834612,7/15/2024,-99.45420609,1.26397558,14,20240716,TD,16:10,16:40,-7.8,22.046,31.94,7.2,22,7/16/2024,-71.58860046,7.087071266
20240716,tank15,0.001816175,7/15/2024,-99.45420609,1.26397558,15,20240716,TD,16:10,16:40,-36.2,22.386,31.96,7.7,22,7/16/2024,-71.15884877,7.569269878
