date,ID.x,tank,Species,TA,water_mass,TA_initial,mean.blanks,ID.y,pH_treatment,temp_treatment,volume,wet_weight,TA.start,TA.stop,block,deltaTA,timediff,umol.cm2.hr
20241219,T1_Mshell,1,Mussel,1952.920976,60.2053,1952.2785026666666,NA,NA,7.6,22,0.643,5.5576,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,-0.6424733333335553,1.2,-0.17643254673617204
20241219,T1_Nshell,1,Nucella,1972.385442,60.0876,1952.2785026666666,NA,NA,7.6,22,0.11575,0.652,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,-20.106939333333457,1.2,-0.9939844514704923
20241220,T2_MShell,2,Mussel,1930.331149,59.797,1945.266945,NA,Shell,7.4,18,0.648,2.2438,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,14.935795999999982,1.1666666666666667,4.251581015657138
20241220,T2_NShell,2,Nucella,1917.515572,60.3745,1945.266945,NA,Shell,7.4,18,0.1155,0.7886,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,27.751373000000058,1.1666666666666667,1.4080352875875028
20241219,T3_Mshell,3,Mussel,1963.071186,59.6094,1946.8501333333334,NA,NA,7.8,22,0.645,10.4718,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,-16.221052666666537,1.2,-4.468393101770798
20241219,T3_Nshell,3,Nucella,1946.68043,59.7495,1946.8501333333334,NA,NA,7.8,22,0.1155,0.8196,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,0.16970333333347298,1.2,0.008371147239590222
20241221,T4_MShell,4,Mussel,1931.732787,59.8945,1955.7975053333332,NA,Shell,7.3,18,0.648,6.2979,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,24.064718333333303,1.1666666666666667,6.850193964428562
20241221,T4_NShell,4,Nucella,2010.72708,59.9109,1955.7975053333332,NA,Shell,7.3,18,0.1158,0.499,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,-54.92957466666667,1.1666666666666667,-2.7942282278828565
20241221,T5_Mshell,5,Mussel,1944.999637,59.7363,1987.2405586666666,NA,Shell,7.7,18,0.645,7.0424,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,42.240921666666736,1.1666666666666667,11.968512572946446
20241221,T5_NShell,5,Nucella,1931.38437,59.8754,1987.2405586666666,NA,Shell,7.7,18,0.1156,0.6511,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,55.85618866666664,1.1666666666666667,2.8364570550485695
20241220,T6_MShell,6,Mussel,1923.458427,60.1515,1933.9703803333334,NA,Shell,7.9,18,0.648,6.0478,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,10.511953333333395,1.1666666666666667,2.992302601714303
20241220,T6_NShell,6,Nucella,1935.361191,60.3386,1933.9703803333334,NA,Shell,7.9,18,0.1153,1.1458,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,-1.390810666666539,1.1666666666666667,-0.07044406354856496
20240814,T7_shell_M_18,7,Mussel,1993.852154,60.0232,2025.6632813333333,NA,Shell,7.5,18,0.648,3.2169,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,31.81112733333339,1.1666666666666667,9.055264617771444
20240814,T7_shell_N_18,7,Nucella,2002.208974,60.1765,2025.6632813333333,NA,Shell,7.5,18,0.1156,0.5795,2025-11-14T14:30:00Z,2025-11-14T15:40:00Z,S24,23.454307333333418,1.1666666666666667,1.191043232540004
20240814,T8_shell_M_18,8,Mussel,1966.70066,60.4201,1970.577548,NA,Shell,7.6,18,0.648,3.5436,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,3.876888000000008,1.1666666666666667,1.103583861257145
20240814,T8_shell_N_18,8,Nucella,1996.220932,60.4417,1970.577548,NA,Shell,7.6,18,0.1153,1.0063,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,-25.64338399999997,1.1666666666666667,-1.2988282412485697
20240814,T9_shell_M_18,9,Mussel,1987.443158,60.4991,2017.1699516666667,NA,Shell,7.2,18,0.644,4.1973,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,29.72679366666671,1.1666666666666667,8.40970992830001
20240814,T9_shell_N_18,9,Nucella,1982.33729,60.2413,2017.1699516666667,NA,Shell,7.2,18,0.11520000000000001,1.2741,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,34.83266166666681,1.1666666666666667,1.7627317241142928
20240814,T10_shell_M_18,10,Mussel,1989.791976,60.0549,1972.672313,NA,Shell,7.8,18,0.649,5.1052,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,-17.119662999999946,1.1666666666666667,-4.880754779646412
20240814,T10_shell_N_18,10,Nucella,2011.745262,59.9175,1972.672313,NA,Shell,7.8,18,0.1155,0.9728,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,-39.07294899999988,1.1666666666666667,-1.982463749887494
