ID,pan,dry_snail_pan,ashed,dry_weight,shell_pan,dry_shell_pan,dry_shell,shell_length,shell_width,shell_depth
1,,1.5868,1.0819,0.5049,0.98,11.1671,10.1871,55.24,24.75,23.94
2,,1.3571,1.0394,0.3177,0.9751,8.7592,7.7841,45.28,21.99,23.85
3,,1.4424,1.0705,0.3719,0.9687,9.4998,8.5311,51.2,24.09,23.89
4,,1.5109,1.0384,0.4725,0.9873,10.487,9.4997,48.65,22.68,23.42
5,,1.6005,1.0784,0.5221,0.9726,10.3767,9.4041,52.56,27.24,23.17
6,,,,,,,,,,
7,,1.8175,1.1547,0.6628,0.997,13.9367,12.9397,57.9,30.12,25
8,,1.6544,1.1212,0.5332,0.9793,12.5872,11.6079,52.28,23.96,24
9,,1.3877,1.0232,0.3645,0.9642,8.935,7.9708,43.9,23.2,22.18
10,,1.5085,1.098,0.4105,0.9917,11.8797,10.888,55.02,24.42,25.27
11,,1.3866,1.0545,0.3321,0.9625,12.7501,11.7876,47.26,23.65,24.62
12,,,,,,,,,,
13,,1.6188,1.066,0.5528,1.0183,15.2497,14.2314,54.06,25.79,25.65
14,,,,,,,,,,
15,,1.6947,1.1044,0.5903,0.9735,14.1502,13.1767,57.72,28.92,26.75
16,,1.4515,1.041,0.4105,0.9806,8.213,7.2324,50.76,22.91,23.26
17,,1.4554,1.0719,0.3835,0.9663,11.1682,10.2019,49.11,24.02,22.91
18,,1.3808,1.0452,0.3356,0.9846,11.1136,10.129,52.88,21.53,23.27
19,,1.4738,1.0893,0.3845,0.9664,13.5991,12.6327,58.42,25.6,26.56
20,,1.3403,1.0432,0.2971,0.9608,10.4911,9.5303,54.24,26.68,22.96
21,,1.2697,1.0206,0.2491,0.9687,6.9265,5.9578,48.52,22.9,18.19
22,,,,,,,,,,
23,,1.6126,1.0844,0.5282,0.9878,12.7551,11.7673,52.81,24.99,26.61
24,,1.4046,1.0371,0.3675,0.9708,12.5902,11.6194,50.04,23.99,24.1
25,,,,,,,,,,
26,,1.4894,1.0741,0.4153,0.9645,11.7143,10.7498,55.16,27.04,23.48
27,,1.2932,1.0168,0.2764,0.9728,10.6454,9.6726,47.66,23.39,23.12
28,,1.3621,1.0294,0.3327,0.9715,8.2515,7.28,48.49,23.77,20.32
29,,1.4221,1.0571,0.365,0.9643,11.8671,10.9028,57.4,23.94,23.99
30,,,,,,,,,,
31,,1.3567,1.0487,0.308,0.9728,8.1421,7.1693,44.8,22.76,22.14
32,,1.2731,1.0435,0.2296,0.9706,11.631,10.6604,48.45,22.03,22.81
33,,1.4511,1.0561,0.395,0.9649,13.5609,12.596,52.09,23.9,23.92
34,,1.3303,1.0446,0.2857,0.9726,8.3554,7.3828,49.69,22.66,22.28
35,,1.3513,1.0346,0.3167,0.9616,7.1645,6.2029,48.25,22.15,20.03
36,,,,,,,,,,
37,,,,,,,,,,
38,,1.2744,1.0215,0.2529,0.9643,7.4096,6.4453,43.99,22.16,21.5
39,,1.3489,1.0352,0.3137,0.9733,9.4612,8.4879,44.88,22.04,21.93
40,,1.7161,1.1034,0.6127,0.9754,16.3926,15.4172,57.86,26.96,28.36
41,,1.3356,1.0494,0.2862,0.9675,10.4049,9.4374,49.63,21.64,22.1
42,,1.3714,1.0542,0.3172,0.9671,8.3951,7.428,48.73,22.13,21.67
43,,1.4459,1.0712,0.3747,0.9643,12.3372,11.3729,49.82,22.63,24.55
44,,1.4812,1.0866,0.3946,0.9784,9.6999,8.7215,54.96,24.64,22.1
45,,,,,,,,,,
46,,1.4758,1.0604,0.4154,0.9793,14.9508,13.9715,51.08,24.6,22.88
47,,1.3328,1.0265,0.3063,0.9712,9.5073,8.5361,48.5,21.69,22.01
48,,1.7248,1.0873,0.6375,0.9709,13.4731,12.5022,53.62,26.7,25.49
49,,,,,,,,,,
50,,1.3621,1.0276,0.3345,0.972,10.0403,9.0683,48.13,23.79,23.35
51,,1.3011,1.0354,0.2657,0.9729,11.3015,10.3286,45.94,23.8,25.38
52,,,,,,,,,,
53,,1.3689,1.0387,0.3302,0.9573,9.5577,8.6004,48.19,22.57,23.13
54,,,,,,,,,,
55,,1.5368,1.0849,0.4519,0.9641,10.6924,9.7283,57.08,24.56,24.29
56,,1.3292,1.0362,0.293,0.9801,10.6193,9.6392,47.89,22.83,22.29
57,,1.3564,1.0367,0.3197,0.9796,10.5247,9.5451,48.92,22.54,26.56
58,,1.537,1.0644,0.4726,0.9733,14.592,13.6187,57.88,24.74,27.62
59,,1.276,1.036,0.24,0.9825,6.7135,5.731,44.03,21.63,19.39
60,,,,,,,,,,
61,,1.4917,1.071,0.4207,0.9832,13.3844,12.4012,53.27,22.28,25.01
62,,1.2649,1.0298,0.2351,0.9792,8.1519,7.1727,46.05,22.48,21.81
63,,1.4701,1.0704,0.3997,0.9711,10.0425,9.0714,53.79,23.78,22.6
64,,1.3184,1.0477,0.2707,0.9891,11.0685,10.0794,45.01,22.06,21.89
65,,1.2342,1.0116,0.2226,0.9691,8.6893,7.7202,43.24,22.58,18.62
66,,,,,,,,,,
67,,1.5429,1.0982,0.4447,0.9755,10.3649,9.3894,52.11,24.68,24.01
68,,1.488,1.0646,0.4234,0.9782,13.7499,12.7717,55.57,26.61,24.49
69,,1.5174,1.0841,0.4333,0.9765,12.5292,11.5527,46.3,22.02,24.83
70,,1.2324,1.018,0.2144,0.9707,6.4014,5.4307,44.45,21.68,20.19
71,,1.3632,1.0551,0.3081,0.9704,8.6444,7.674,48.38,22.09,23.31
72,,,,,,,,,,
73,,1.5629,1.0765,0.4864,0.9632,12.8314,11.8682,52.68,26.1,24.3
74,,,,,,,,,,
75,,1.4523,1.0481,0.4042,0.975,10.3163,9.3413,47.3,22.15,22.23
76,,1.6006,1.0844,0.5162,0.9839,12.0434,11.0595,45.98,24.7,25.47
77,,1.3849,1.0436,0.3413,0.9797,8.8476,7.8679,47.62,22.57,21.8
78,,1.5407,1.0739,0.4668,0.9625,12.2735,11.311,54.24,24.16,24.6
79,,1.388,1.0474,0.3406,0.9675,10.8894,9.9219,54.58,22.88,22.21
80,,1.4932,1.0791,0.4141,0.9688,10.5068,9.538,52.57,23.67,22.04
81,,,,,,,,,,
82,,1.3054,1.0481,0.2573,0.9752,7.0359,6.0607,48.48,21.73,19.66
83,,1.4777,1.0557,0.422,0.9591,11.751,10.7919,45.43,23.3,25.64
84,,1.5323,1.0816,0.4507,0.9838,12.7541,11.7703,47.72,24.55,26.63
85,,1.4746,1.0778,0.3968,0.9843,13.7517,12.7674,48.76,25.16,23.1
86,,1.5555,1.0727,0.4828,0.9813,12.884,11.9027,52.78,26.2,24.31
87,,1.3364,1.0392,0.2972,0.973,11.4049,10.4319,53.32,23.82,23.67
88,,,,,,,,,,
89,,1.2348,1.0357,0.1991,0.9612,7.8115,6.8503,45.44,21.68,21.63
90,,,,,,,,,,
91,,,,,,,,,,
92,,1.6807,1.1035,0.5772,0.962,12.7612,11.7992,54.6,28.07,24.3
93,,1.3878,1.0584,0.3294,0.9753,12.4102,11.4349,52.62,22.51,24.27
94,,1.445,1.0719,0.3731,0.9773,13.3453,12.368,51.55,23.6,26.24
95,,1.3257,1.0493,0.2764,0.9804,8.0244,7.044,46.33,22.93,21.99
96,,1.5038,1.0661,0.4377,0.9698,14.3249,13.3551,52.38,24.61,25.54
97,,1.412,1.0535,0.3585,0.9789,10.8466,9.8677,48.21,24.24,21.57
98,,1.5439,1.0983,0.4456,0.9799,12.7931,11.8132,55.24,26.78,24.62
99,,1.2949,1.0438,0.2511,0.9655,7.7579,6.7924,47.13,24.41,21.59
100,,1.3558,1.0643,0.2915,0.9753,12.3696,11.3943,46.63,21.68,22.94
101,,,,,,,,,,
102,,,,,,,,,,
103,,1.2951,1.0407,0.2544,0.9671,7.3897,6.4226,46.76,22.58,19.25
104,,1.3889,1.0569,0.332,0.9842,10.2432,9.259,52.97,25.66,23.41
105,,,,,,,,,,
106,,1.5303,1.0928,0.4375,0.9718,9.6634,8.6916,52.53,24.47,22.75
107,,1.3205,1.0375,0.283,0.9818,9.8239,8.8421,52.84,24.57,21.95
108,,1.3678,1.0464,0.3214,0.9764,11.1171,10.1407,49.2,23.44,21.78
109,,,,,,,,,,
110,,1.4877,1.0705,0.4172,0.9754,13.1442,12.1688,53.11,23.46,25.85
,,,,,,,,,,
201,,1.2338,1.0575,,,,,40.2,20.35,15.21
202,,1.368,1.092,,,,,43.11,20.06,19.43
203,,1.3432,1.0667,,,,,46.12,20.04,22.66
204,,1.3039,1.0755,,,,,43.49,22.08,20.86
205,,1.2081,1.0232,,,,,40.1,18.8,17.61
206,,1.1572,1.0177,,,,,37.52,18.35,15.33
207,,1.2149,1.0283,,,,,40.49,19.01,17.12
208,,1.2451,1.0342,,,,,39.49,19.58,17.93
209,,1.2192,1.0283,,,,,38.13,21.66,17.44
210,,1.2172,1.017,,,,,42.18,18.92,19.85
211,,1.1115,1.0006,,,,,38.33,18.14,16.73
212,,2.0053,1.2101,,,,,60.77,29.27,29.07
213,,1.8537,1.2115,,,,,62.71,25.4,27.51
214,,1.6156,1.0751,,,,,58.06,27.32,26.6
215,,2.1401,1.1976,,,,,61.06,28.72,29.38
216,,1.5884,1.1258,,,,,55.44,27.17,26.98
217,,1.5393,1.1119,,,,,58.2,25.38,26.57
