date,sea_water_temperature,sea_water_temperature_qc_agg,z
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.20000076,1,0
7/1/2024,,2,0
7/1/2024,18.10000038,1,0
7/1/2024,,2,0
7/1/2024,18.10000038,1,0
7/1/2024,,2,0
7/1/2024,18.10000038,1,0
7/1/2024,,2,0
7/1/2024,18.10000038,1,0
7/1/2024,,2,0
7/1/2024,18.10000038,1,0
7/1/2024,,2,0
7/1/2024,18.10000038,1,0
7/1/2024,,2,0
7/1/2024,18.39999962,1,0
7/1/2024,,2,0
7/1/2024,18.45000076,1,0
7/1/2024,,2,0
7/1/2024,18.5,1,0
7/1/2024,,2,0
7/1/2024,18.60000038,1,0
7/1/2024,,2,0
7/1/2024,19.10000038,1,0
7/1/2024,,2,0
7/1/2024,19.5,1,0
7/1/2024,,2,0
7/1/2024,19.60000038,1,0
7/1/2024,,2,0
7/1/2024,19.45000076,1,0
7/1/2024,,2,0
7/1/2024,19.70000076,1,0
7/1/2024,,2,0
7/1/2024,19.45000076,1,0
7/1/2024,,2,0
7/1/2024,19.39999962,1,0
7/1/2024,,2,0
7/1/2024,19.39999962,1,0
7/1/2024,,2,0
7/1/2024,19.89999962,1,0
7/1/2024,,2,0
7/1/2024,19.45000076,1,0
7/2/2024,,2,0
7/2/2024,19.10000038,1,0
7/2/2024,,2,0
7/2/2024,19.04999924,1,0
7/2/2024,,2,0
7/2/2024,19.29999924,1,0
7/2/2024,,2,0
7/2/2024,19.39999962,1,0
7/2/2024,,2,0
7/2/2024,19.25,1,0
7/2/2024,,2,0
7/2/2024,19.39999962,1,0
7/2/2024,,2,0
7/2/2024,19.35000038,1,0
7/2/2024,,2,0
7/2/2024,19.10000038,1,0
7/2/2024,,2,0
7/2/2024,18.95000076,1,0
7/2/2024,,2,0
7/2/2024,19.35000038,1,0
