,ID,color,shell_length_initial,shell_width_initial,shell_depth_initial,wet_weight_initial,tank,cage,rep,date,
1 ctrl 1,1,tag,55.18,25.71,22.97,17.47,1,ctrl,1,7/7/2024,
1 ctrl 2,2,tag,45.15,21.4,22.8,12.0186,1,ctrl,2,7/7/2024,
1 ctrl 3,3,tag,50.51,23.56,23.12,13.745,1,ctrl,3,7/7/2024,
1 ctrl 4,4,tag,48.82,23.93,22.77,15.4405,1,ctrl,4,7/7/2024,
1 ctrl 5,5,tag,52.24,26.3,23.59,15.8736,1,ctrl,5,7/7/2024,
1 ctrl 6,6,tag,51.54,24.11,22.45,16.4836,1,ctrl,6,7/7/2024,
2 ctrl 1,7,tag,57.68,29.66,24.95,21.2315,2,ctrl,1,7/7/2024,
2 ctrl 2,8,tag,51.75,23.83,23.23,17.0896,2,ctrl,2,7/7/2024,
2 ctrl 3,9,tag,43.87,22.75,21.71,11.7751,2,ctrl,3,7/7/2024,
2 ctrl 4,10,tag,54.84,23.73,24.3,17.275,2,ctrl,4,7/7/2024,
2 ctrl 5,11,tag,46.84,23.65,23.93,16.596,2,ctrl,5,7/7/2024,
2 ctrl 6,12,tag,51.44,23.46,20.93,12.185,2,ctrl,6,7/7/2024,
3 ctrl 1,13,tag,54.04,25.44,26.32,21.1103,3,ctrl,1,7/7/2024,
3 ctrl 2,14,tag,45.21,23.5,21.56,12.9281,3,ctrl,2,7/7/2024,
3 ctrl 3,15,tag,57.95,28.85,23.57,21.3816,3,ctrl,3,7/7/2024,
3 ctrl 4,16,tag,50.83,22.71,22.72,14.8262,3,ctrl,4,7/7/2024,
3 ctrl 5,17,tag,48.84,23.81,22.28,17.1974,3,ctrl,5,7/7/2024,
3 ctrl 6,18,tag,51.1,21.06,22.12,15.4141,3,ctrl,6,7/7/2024,
4 ctrl 1,19,tag,58.31,25.23,25.42,20.964,4,ctrl,1,7/7/2024,
4 ctrl 2,20,tag,54.36,26.49,21.76,16.8286,4,ctrl,2,7/7/2024,
4 ctrl 3,21,tag,47.66,23.62,17.65,10.5954,4,ctrl,3,7/7/2024,
4 ctrl 4,22,tag,48.89,25.07,22.82,13.5975,4,ctrl,4,7/7/2024,
4 ctrl 5,23,tag,52.28,25.57,24.36,18.7081,4,ctrl,5,7/7/2024,
4 ctrl 6,24,tag,50.57,24.65,23.85,17.92,4,ctrl,6,7/7/2024,
5 ctrl 1,25,tag,52.94,26.54,21.75,14.793,5,ctrl,1,7/7/2024,
5 ctrl 2,26,tag,55.05,27.94,22.55,18.4397,5,ctrl,2,7/7/2024,
5 ctrl 3,27,tag,47.55,24.02,22.18,14.3078,5,ctrl,3,7/7/2024,
5 ctrl 4,28,tag,48.52,24.06,20.56,11.5238,5,ctrl,4,7/7/2024,
5 ctrl 5,29,tag,56.95,23.67,23.41,19.3452,5,ctrl,5,7/7/2024,
5 ctrl 6,30,tag,54.34,25.53,26.41,23.7905,5,ctrl,6,7/7/2024,
6 ctrl 1,31,tag,44.25,22.81,20.85,13.3598,6,ctrl,1,7/7/2024,
6 ctrl 2,32,tag,48.35,22.41,22.66,17.3423,6,ctrl,2,7/7/2024,
6 ctrl 3,33,tag,52.35,24.56,23.63,20.7208,6,ctrl,3,7/7/2024,
6 ctrl 4,34,tag,50.04,22.43,21.76,14.3103,6,ctrl,4,7/7/2024,
6 ctrl 5,35,tag,48.27,22.04,20.12,10.0852,6,ctrl,5,7/7/2024,
6 ctrl 6,36,tag,57.08,26.47,24.06,22.4301,6,ctrl,6,7/7/2024,
7 ctrl 1,37,tag,52.55,23.75,21.54,15.2291,7,ctrl,1,7/7/2024,
7 ctrl 2,38,tag,44.02,21.39,20.34,11.8154,7,ctrl,2,7/7/2024,
7 ctrl 3,39,tag,44.29,22.27,21.05,12.7272,7,ctrl,3,7/7/2024,
7 ctrl 4,40,tag,57.76,27.75,27,23.9431,7,ctrl,4,7/7/2024,
7 ctrl 5,41,tag,49.45,21.5,21.26,16.7093,7,ctrl,5,7/7/2024,
7 ctrl 6,42,tag,48.53,22.02,20.46,11.4392,7,ctrl,6,7/7/2024,
8 ctrl 1,43,tag,49.13,24.25,23.85,16.6177,8,ctrl,1,7/7/2024,
8 ctrl 2,44,tag,54.56,24.47,22,18.8051,8,ctrl,2,7/7/2024,
8 ctrl 3,45,tag,42.67,19.64,21.67,11.2462,8,ctrl,3,7/7/2024,
8 ctrl 4,46,tag,51.29,24.98,22.96,19.815,8,ctrl,4,7/7/2024,
8 ctrl 5,47,tag,48.68,21.77,21.3,13.842,8,ctrl,5,7/7/2024,
8 ctrl 6,48,tag,53.43,26.59,25.2,20.0282,8,ctrl,6,7/7/2024,
9 ctrl 1,49,tag,45.74,24.07,21.29,13.3039,9,ctrl,1,7/7/2024,
9 ctrl 2,50,tag,47.93,23.65,22.1,14.3297,9,ctrl,2,7/7/2024,
9 ctrl 3,51,tag,46.04,24.24,24.86,15.5033,9,ctrl,3,7/7/2024,
9 ctrl 4,52,tag,45.43,22.04,19.54,9.7628,9,ctrl,4,7/7/2024,
9 ctrl 5,53,tag,47.94,22.87,22.3,15.5447,9,ctrl,5,7/7/2024,
9 ctrl 6,54,tag,51.98,23.92,24.94,18.2789,9,ctrl,6,7/7/2024,
10 ctrl 1,55,tag,57.03,24.68,23.81,16.0746,10,ctrl,1,7/7/2024,
10 ctrl 2,56,tag,48.19,23.71,21.89,14.1907,10,ctrl,2,7/7/2024,
10 ctrl 3,57,tag,48.68,22.63,24.89,15.9894,10,ctrl,3,7/7/2024,
10 ctrl 4,58,tag,57.38,26.14,26.29,22.6649,10,ctrl,4,7/7/2024,
10 ctrl 5,59,tag,43.98,21.34,18.3,10.0056,10,ctrl,5,7/7/2024,
10 ctrl 6,60,tag,48.74,26.66,22.7,16.661,10,ctrl,6,7/7/2024,
11 ctrl 1,61,tag,52.89,22.84,24.44,19.5503,11,ctrl,1,7/7/2024,
11 ctrl 2,62,tag,46.3,23.39,20.87,11.4494,11,ctrl,2,7/7/2024,
11 ctrl 3,63,tag,54.02,24.33,21.67,18.1036,11,ctrl,3,7/7/2024,
11 ctrl 4,64,tag,45.05,22.75,20.23,15.5142,11,ctrl,4,7/7/2024,
11 ctrl 5,65,tag,43.07,22.14,18.5,12.1642,11,ctrl,5,7/7/2024,
11 ctrl 6,66,tag,50.3,25.89,21.14,14.6427,11,ctrl,6,7/7/2024,
12 ctrl 1,67,tag,51.62,25.04,23.59,18.6589,12,ctrl,1,7/7/2024,
12 ctrl 2,68,tag,55.16,26.09,24.35,21.2281,12,ctrl,2,7/7/2024,
12 ctrl 3,69,tag,46.01,22.82,24.26,17.4383,12,ctrl,3,7/7/2024,
12 ctrl 4,70,tag,45.12,21.96,19.69,10.4789,12,ctrl,4,7/7/2024,
