ID,tank,cage,rep,,end_date,start_date,time
1,1,ctrl,1,1ctrl1,7/7/2024,7/7/2024,
2,1,ctrl,2,1ctrl2,7/7/2024,7/7/2024,
3,1,ctrl,3,1ctrl3,7/7/2024,7/7/2024,
4,1,ctrl,4,1ctrl4,7/7/2024,7/7/2024,
5,1,ctrl,5,1ctrl5,7/7/2024,7/7/2024,
6,1,ctrl,6,1ctrl6,7/7/2024,7/7/2024,
7,2,ctrl,1,2ctrl1,7/7/2024,7/7/2024,
8,2,ctrl,2,2ctrl2,7/7/2024,7/7/2024,
9,2,ctrl,3,2ctrl3,7/7/2024,7/7/2024,
10,2,ctrl,4,2ctrl4,7/7/2024,7/7/2024,
11,2,ctrl,5,2ctrl5,7/7/2024,7/7/2024,
12,2,ctrl,6,2ctrl6,7/7/2024,7/7/2024,
13,3,ctrl,1,3ctrl1,7/7/2024,7/7/2024,
14,3,ctrl,2,3ctrl2,7/7/2024,7/7/2024,
15,3,ctrl,3,3ctrl3,7/7/2024,7/7/2024,
16,3,ctrl,4,3ctrl4,7/7/2024,7/7/2024,
17,3,ctrl,5,3ctrl5,7/7/2024,7/7/2024,
18,3,ctrl,6,3ctrl6,7/7/2024,7/7/2024,
19,4,ctrl,1,4ctrl1,7/7/2024,7/7/2024,
20,4,ctrl,2,4ctrl2,7/7/2024,7/7/2024,
21,4,ctrl,3,4ctrl3,7/7/2024,7/7/2024,
22,4,ctrl,4,4ctrl4,7/7/2024,7/7/2024,
23,4,ctrl,5,4ctrl5,7/7/2024,7/7/2024,
24,4,ctrl,6,4ctrl6,7/7/2024,7/7/2024,
25,5,ctrl,1,5ctrl1,7/7/2024,7/7/2024,
26,5,ctrl,2,5ctrl2,7/7/2024,7/7/2024,
27,5,ctrl,3,5ctrl3,7/7/2024,7/7/2024,
28,5,ctrl,4,5ctrl4,7/7/2024,7/7/2024,
29,5,ctrl,5,5ctrl5,7/7/2024,7/7/2024,
30,5,ctrl,6,5ctrl6,7/7/2024,7/7/2024,
31,6,ctrl,1,6ctrl1,7/7/2024,7/7/2024,
32,6,ctrl,2,6ctrl2,7/7/2024,7/7/2024,
33,6,ctrl,3,6ctrl3,7/7/2024,7/7/2024,
34,6,ctrl,4,6ctrl4,7/7/2024,7/7/2024,
35,6,ctrl,5,6ctrl5,7/7/2024,7/7/2024,
36,6,ctrl,6,6ctrl6,7/7/2024,7/7/2024,
37,7,ctrl,1,7ctrl1,7/7/2024,7/7/2024,
38,7,ctrl,2,7ctrl2,7/7/2024,7/7/2024,
39,7,ctrl,3,7ctrl3,7/7/2024,7/7/2024,
40,7,ctrl,4,7ctrl4,7/7/2024,7/7/2024,
41,7,ctrl,5,7ctrl5,7/7/2024,7/7/2024,
42,7,ctrl,6,7ctrl6,7/7/2024,7/7/2024,
43,8,ctrl,1,8ctrl1,7/7/2024,7/7/2024,
44,8,ctrl,2,8ctrl2,7/7/2024,7/7/2024,
