S,T,pH,CO2,pCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,tank,,,,,,,,,,,,,,,,
31.88,22.194,7.350647619,5.95E-05,1924.201194,0.001745821,3.54E-05,0.001840803,0.001835781,0.565281391,0.870334581,1,,,,,,,,,,,,,,,,
31.94,17.917,7.396624464,5.87E-05,1684.567095,0.001746792,3.36E-05,0.001839092,0.001832753,0.526998601,0.820226393,2,,,,,,,,,,,,,,,,
31.96,23.071,7.832719425,1.71E-05,565.6712403,0.001549487,9.88E-05,0.001665386,0.001801725,1.581533005,2.428579134,3,,,,,,,,,,,,,,,,
31.93,18.821,7.281390992,7.60E-05,2240.42198,0.001771126,2.71E-05,0.001874224,0.001840081,0.425387793,0.66064205,4,,,,,,,,,,,,,,,,
31.96,18.173,7.514153308,4.35E-05,1259.141049,0.001708673,4.36E-05,0.001795758,0.001820195,0.683193108,1.062621442,5,,,,,,,,,,,,,,,,
31.95,18.58,7.818569244,1.98E-05,579.6582859,0.001581225,8.25E-05,0.00168352,0.001793173,1.295804768,2.013520012,6,,,,,,,,,,,,,,,,
31.93,18.62,7.507307975,4.36E-05,1278.011204,0.001701938,4.34E-05,0.001788968,0.001813069,0.68198276,1.059666641,7,,,,,,,,,,,,,,,,
31.97,18.307,7.584032274,3.68E-05,1068.60981,0.001701837,5.12E-05,0.001789863,0.001832802,0.80386545,1.24987525,8,,,,,,,,,,,,,,,,
31.98,18.56,7.182961102,9.63E-05,2816.527462,0.001778424,2.15E-05,0.001896179,0.001833188,0.337190846,0.523938675,9,,,,,,,,,,,,,,,,
31.92,18.388,7.823685261,2.00E-05,583.0817794,0.001611238,8.44E-05,0.001715647,0.001827141,1.324639849,2.059447353,10,,,,,,,,,,,,,,,,
31.99,22.234,7.343539291,6.09E-05,1970.192837,0.001758932,3.53E-05,0.001855071,0.001848374,0.56243331,0.865607967,11,,,,,,,,,,,,,,,,
31.92,22.309,7.36688966,5.66E-05,1834.598791,0.001727023,3.66E-05,0.001820194,0.001820074,0.583752155,0.898395906,12,,,,,,,,,,,,,,,,
31.93,18.695,7.962632961,1.37E-05,401.9668585,0.001526555,0.000111388,0.001651636,0.001812152,1.750729203,2.719787096,13,,,,,,,,,,,,,,,,
31.94,22.046,7.087071266,0.00011195,3604.938375,0.001784766,1.97E-05,0.001916385,0.001834612,0.313406307,0.482655681,14,,,,,,,,,,,,,,,,
31.96,22.386,7.569269878,3.43E-05,1114.790143,0.00167186,5.67E-05,0.001762827,0.001816175,0.904159885,1.391065042,15,,,,,,,,,,,,,,,,
31.91,22.171,7.823522454,1.80E-05,580.3459674,0.001564704,9.44E-05,0.00167703,0.001805649,1.504573242,2.31647893,17,,,,,,,,,,,,,,,,
31.98,22.179,7.161333101,9.31E-05,3009.571197,0.001766716,2.32E-05,0.001883065,0.001825716,0.370426821,0.570202777,18,,,,,,,,,,,,,,,,
31.98,22.105,7.90944222,1.43E-05,461.0127592,0.001515961,0.000111339,0.001641591,0.001800705,1.774168235,2.731553334,19,,,,,,,,,,,,,,,,
33.53,21.927,7.593178927,3.25E-05,1052.470205,0.001682773,6.15E-05,0.001776811,0.001840205,0.971889654,1.491693624,1,,,,,,,,,,,,,,,,
33.51,17.677,7.346203021,6.58E-05,1890.969982,0.001758983,3.10E-05,0.001855762,0.0018388,0.482442478,0.74862724,2,,,,,,,,,,,,,,,,
33.58,21.87,7.794955239,1.95E-05,630.8158726,0.001605919,9.34E-05,0.001718782,0.00184499,1.473877691,2.262284384,3,,,,,,,,,,,,,,,,
33.53,17.958,7.298748313,7.37E-05,2137.883761,0.001779646,2.85E-05,0.001881832,0.001852683,0.442853367,0.686703954,4,,,,,,,,,,,,,,,,
33.58,17.982,7.714154264,2.63E-05,762.728584,0.001652462,6.89E-05,0.001747657,0.00183013,1.072261477,1.662422519,5,,,,,,,,,,,,,,,,
33.54,17.879,7.840960366,1.91E-05,552.4826423,0.001603697,8.91E-05,0.001711921,0.001833469,1.386522326,2.150355892,6,,,,,,,,,,,,,,,,
33.55,18.122,7.559628666,3.87E-05,1128.789867,0.00171162,5.02E-05,0.001800603,0.001840864,0.782195473,1.212369582,7,,,,,,,,,,,,,,,,
33.54,18.044,7.587575554,3.55E-05,1030.675053,0.001667517,5.20E-05,0.001755006,0.001802047,0.809927447,1.255615591,8,,,,,,,,,,,,,,,,
33.51,17.834,7.219371537,8.93E-05,2579.478401,0.001789897,2.37E-05,0.0019029,0.001850759,0.368971681,0.572334378,9,,,,,,,,,,,,,,,,
33.52,18.164,7.812073224,2.03E-05,592.720516,0.001606671,8.44E-05,0.001711407,0.001824409,1.314583081,2.037463444,10,,,,,,,,,,,,,,,,
33.55,22.212,7.47103505,4.37E-05,1426.397573,0.00171862,4.80E-05,0.001810305,0.001841213,0.758421451,1.163091936,11,,,,,,,,,,,,,,,,
33.58,21.925,7.412141799,5.09E-05,1647.861244,0.001736917,4.19E-05,0.001829715,0.001844018,0.661747427,1.015576125,12,,,,,,,,,,,,,,,,
33.56,17.952,7.960109163,1.39E-05,402.7750692,0.001537575,0.000112794,0.001664259,0.001828678,1.754931732,2.72113339,13,,,,,,,,,,,,,,,,
33.53,22.064,7.181274848,8.86E-05,2879.665578,0.001781903,2.54E-05,0.001895898,0.001846586,0.400898881,0.615083185,14,,,,,,,,,,,,,,,,
33.57,22.123,7.67100755,2.66E-05,866.0955651,0.001654804,7.30E-05,0.00175439,0.001841567,1.153470931,1.769289999,15,,,,,,,,,,,,,,,,
33.55,21.896,7.849506881,1.68E-05,543.5689669,0.001568601,0.000103413,0.001688818,0.001833858,1.633174494,2.506768512,17,,,,,,,,,,,,,,,,
