"","tank","S_mean_formatted","T_mean_formatted","pH_mean_formatted","CO2_mean_formatted","pCO2_mean_formatted","HCO3_mean_formatted","CO3_mean_formatted","DIC_mean_formatted","ALK_mean_formatted","OmegaAragonite_mean_formatted","OmegaCalcite_mean_formatted"
"1",1,"32.97 ± 0.94","21.97 ± 0.21","7.53 ± 0.16","0.00 ± 0.00","1288.11 ± 557.00","0.00 ± 0.00","0.00 ± 0.00","1770.43 ± 73.77","1815.28 ± 39.40","0.86 ± 0.25","1.32 ± 0.39"
"2",2,"32.98 ± 0.90","17.82 ± 0.13","7.39 ± 0.04","0.00 ± 0.00","1714.04 ± 164.18","0.00 ± 0.00","0.00 ± 0.00","1831.31 ± 29.13","1824.31 ± 20.09","0.52 ± 0.04","0.81 ± 0.06"
"3",3,"33.03 ± 0.92","22.33 ± 0.65","7.86 ± 0.07","0.00 ± 0.00","534.63 ± 114.90","0.00 ± 0.00","0.00 ± 0.00","1650.69 ± 76.50","1796.21 ± 51.77","1.63 ± 0.19","2.51 ± 0.29"
"4",4,"32.97 ± 0.90","18.25 ± 0.49","7.30 ± 0.03","0.00 ± 0.00","2070.61 ± 211.62","0.00 ± 0.00","0.00 ± 0.00","1834.63 ± 75.26","1807.84 ± 67.06","0.44 ± 0.01","0.68 ± 0.02"
"5",5,"32.99 ± 0.90","18.02 ± 0.14","7.66 ± 0.13","0.00 ± 0.00","890.54 ± 324.17","0.00 ± 0.00","0.00 ± 0.00","1721.36 ± 90.46","1786.66 ± 66.87","0.94 ± 0.22","1.46 ± 0.35"
"6",6,"32.99 ± 0.90","18.07 ± 0.45","7.86 ± 0.05","0.00 ± 0.00","521.06 ± 79.14","0.00 ± 0.00","0.00 ± 0.00","1657.96 ± 70.31","1781.37 ± 58.90","1.39 ± 0.09","2.15 ± 0.14"
"7",7,"33.00 ± 0.92","18.10 ± 0.53","7.54 ± 0.03","0.00 ± 0.00","1160.45 ± 105.36","0.00 ± 0.00","0.00 ± 0.00","1755.66 ± 68.01","1788.71 ± 67.71","0.72 ± 0.05","1.12 ± 0.08"
"8",8,"33.00 ± 0.89","18.09 ± 0.20","7.59 ± 0.01","0.00 ± 0.00","1015.00 ± 62.93","0.00 ± 0.00","0.00 ± 0.00","1733.62 ± 69.45","1779.80 ± 66.96","0.80 ± 0.02","1.24 ± 0.02"
"9",9,"32.99 ± 0.88","18.08 ± 0.42","7.21 ± 0.03","0.00 ± 0.00","2565.19 ± 258.78","0.00 ± 0.00","0.00 ± 0.00","1853.12 ± 80.47","1800.46 ± 72.44","0.35 ± 0.02","0.55 ± 0.02"
"10",10,"32.98 ± 0.92","18.20 ± 0.17","7.83 ± 0.02","0.00 ± 0.00","562.57 ± 44.15","0.00 ± 0.00","0.00 ± 0.00","1681.94 ± 54.75","1797.23 ± 49.46","1.33 ± 0.02","2.06 ± 0.02"
"11",11,"33.05 ± 0.92","22.10 ± 0.22","7.45 ± 0.10","0.00 ± 0.00","1513.44 ± 420.05","0.00 ± 0.00","0.00 ± 0.00","1782.55 ± 89.68","1805.88 ± 67.50","0.71 ± 0.13","1.09 ± 0.19"
"12",12,"33.01 ± 0.94","22.05 ± 0.22","7.40 ± 0.03","0.00 ± 0.00","1652.59 ± 179.70","0.00 ± 0.00","0.00 ± 0.00","1786.65 ± 66.52","1797.88 ± 60.38","0.63 ± 0.04","0.97 ± 0.06"
"13",13,"32.98 ± 0.91","18.24 ± 0.40","7.97 ± 0.02","0.00 ± 0.00","381.88 ± 35.49","0.00 ± 0.00","0.00 ± 0.00","1618.56 ± 68.52","1784.11 ± 63.43","1.76 ± 0.01","2.72 ± 0.01"
"14",14,"33.01 ± 0.92","21.98 ± 0.12","7.14 ± 0.05","0.00 ± 0.00","3188.38 ± 374.47","0.00 ± 0.00","0.00 ± 0.00","1889.69 ± 30.28","1825.89 ± 26.17","0.36 ± 0.04","0.55 ± 0.07"
"15",15,"33.02 ± 0.92","22.17 ± 0.20","7.67 ± 0.10","0.00 ± 0.00","870.19 ± 242.57","0.00 ± 0.00","0.00 ± 0.00","1704.82 ± 93.26","1788.83 ± 70.51","1.12 ± 0.19","1.71 ± 0.30"
"16",17,"32.97 ± 0.92","22.00 ± 0.15","7.85 ± 0.03","0.00 ± 0.00","529.39 ± 59.33","0.00 ± 0.00","0.00 ± 0.00","1650.44 ± 56.57","1793.06 ± 48.34","1.60 ± 0.09","2.46 ± 0.13"
"17",18,"33.02 ± 0.90","22.04 ± 0.12","7.26 ± 0.09","0.00 ± 0.00","2360.95 ± 563.58","0.00 ± 0.00","0.00 ± 0.00","1832.33 ± 66.86","1805.79 ± 53.27","0.47 ± 0.09","0.72 ± 0.14"
"18",19,"33.00 ± 0.88","21.92 ± 0.16","8.00 ± 0.08","0.00 ± 0.00","360.53 ± 91.72","0.00 ± 0.00","0.00 ± 0.00","1588.64 ± 72.34","1789.30 ± 50.73","2.12 ± 0.30","3.26 ± 0.46"
