date,TTris,mVTris
20240715,21.412,-72.7
20240715,20.244,-73.8
20240715,19.328,-74.9
20240715,18.317,-76.1
20240715,17.348,-77.3
20240715,16.341,-78.8
20240715,15.319,-80.4
20240718,21.444,-70.9
20240718,20.46,-72.3
20240718,19.482,-73.7
20240718,18.488,-75.2
20240718,17.466,-76.7
20240718,16.432,-78.2
20240718,15.494,-79.6
20240722,22.888,-68.8
20240722,21.941,-70.2
20240722,21.086,-71.5
20240722,20.067,-73.1
20240722,19.086,-74.6
20240722,18.005,-76.3
20240722,17.048,-77.6
20240725,23.191,-98.2
20240725,22.296,-99.1
20240725,21.253,-100.6
20240725,20.272,-102.2
20240725,19.212,-103.6
20240725,18.22,-105.1
20240725,17.223,-106.8
20240729,23.083,-98.4
20240729,22.059,-99.9
20240729,21.047,-101.5
20240729,20.033,-103
20240729,19.042,-104.5
20240729,18.06,-105.9
20240729,17.044,-107.3
20240801,23.065,-100.1
20240801,22.12,-100.6
20240801,21.114,-101.6
20240801,19.131,-104.4
20240801,18.132,-106
20240801,17.081,-107.7
20240805,23.092,-100.8
20240805,22.093,-102.2
20240805,21.029,-103.7
20240805,20.068,-105.1
20240805,19.036,-106.4
20240805,18.081,-107.9
20240805,17.09,-109.4
